S(A^-1)	Itot
6.908865699734811	36.239051818847656
6.949150630928601	35.037384033203125
6.98943556212239	33.84103012084961
7.029720493316178	32.51534652709961
7.070005424509969	31.151992797851562
7.110290355703757	29.75079917907715
7.150575286897546	28.3253173828125
7.190860218091335	26.885494232177734
7.2311451492851235	25.44235610961914
7.271430080478912	24.00718116760254
7.311715011672702	22.540616989135742
7.351999942866491	21.171173095703125
7.392284874060279	19.818130493164062
7.432569805254069	18.49531364440918
7.472854736447857	17.18629264831543
7.513139667641646	15.910277366638184
7.553424598835436	14.676919937133789
7.5937095300292246	13.50888729095459
7.633994461223013	12.319148063659668
7.674279392416803	11.127628326416016
7.714564323610592	9.955113410949707
7.75484925480438	8.781415939331055
7.79513418599817	7.601502418518066
7.835419117191958	6.410342693328857
7.875704048385749	5.20290470123291
