s	Iatom	Imol
5.176613658401885	20.645552	0.0005648606
5.216898589595674	20.174994	0.00063875737
5.257183520789463	19.71649	0.0006733678
5.297468451983252	19.269794	0.000735597
5.337753383177041	18.834532	0.0008390979
5.37803831437083	18.410383	0.0008908879
5.418323245564618	17.997118	0.0008719597
5.458608176758408	17.594397	0.00086863025
5.498893107952196	17.20192	0.00089083234
5.539178039145986	16.819426	0.00087182375
5.579462970339775	16.446636	0.0007944458
5.619747901533564	16.08329	0.0007055804
5.660032832727353	15.729158	0.0006676809
5.7003177639211415	15.387384	0.0006834138
5.74060269511493	15.051898	0.0006755273
5.780887626308719	14.7239895	0.00060518953
5.821172557502509	14.404476	0.0005343225
5.861457488696297	14.092901	0.0005115936
5.901742419890087	13.789086	0.00050627074
5.942027351083876	13.492779	0.00047418804
5.982312282277665	13.203752	0.00040629797
6.022597213471453	12.921889	0.0003187933
6.062882144665243	12.646913	0.00023816615
6.103167075859031	12.378644	0.00018771802
6.1434520070528205	12.11694	0.00016676026
6.18373693824661	11.861644	0.00014437138
6.224021869440398	11.612545	9.5522984e-05
6.264306800634188	11.369631	4.3151602e-05
6.304591731827976	11.133113	2.8340306e-05
6.344876663021765	10.902325	4.0440173e-05
6.385161594215554	10.677126	3.753344e-05
6.425446525409344	10.457355	2.3700011e-05
6.465731456603134	10.242873	2.1097225e-05
6.506016387796922	10.03354	8.651639e-06
6.546301318990711	9.829203	-2.2182003e-05
6.5865862501845	9.62974	-3.490261e-05
6.626871181378289	9.435024	-2.3233468e-05
6.667156112572077	9.244925	-1.6935483e-05
6.707441043765868	9.059305	-2.1481004e-05
6.747725974959656	8.8780365	-2.96035e-05
6.788010906153445	8.701034	-4.2595e-05
6.828295837347234	8.5281725	-5.133616e-05
6.8685807685410225	8.359303	-4.6189372e-05
6.908865699734811	8.194342	-3.9564467e-05
6.949150630928601	8.033177	-4.7338977e-05
6.98943556212239	7.875677	-6.250214e-05
7.029720493316178	7.721739	-7.055809e-05
7.070005424509969	7.571239	-7.210268e-05
7.110290355703757	7.424018	-7.295654e-05
7.150575286897546	7.2800007	-7.645226e-05
7.190860218091335	7.1388717	-8.193729e-05
7.2311451492851235	7.000917	-8.151077e-05
7.271430080478912	6.8677254	-7.423239e-05
7.311715011672702	6.7376685	-6.4713386e-05
7.351999942866491	6.610559	-5.498597e-05
7.392284874060279	6.4863296	-5.6250163e-05
7.432569805254069	6.3649063	-7.386762e-05
7.472854736447857	6.24622	-8.758962e-05
7.513139667641646	6.1301956	-8.157716e-05
7.553424598835436	6.01678	-6.774495e-05
7.5937095300292246	5.9058394	-6.162198e-05
7.633994461223013	5.7974143	-6.404633e-05
7.674279392416803	5.691353	-7.0354006e-05
7.714564323610592	5.5877223	-7.5031116e-05
7.75484925480438	5.4864025	-7.389328e-05
7.79513418599817	5.3872566	-7.039337e-05
7.835419117191958	5.290413	-6.6984365e-05
7.875704048385749	5.195892	-6.000536e-05
7.915988979579537	5.1035786	-5.260292e-05
7.956273910773326	5.013632	-5.418267e-05
7.996558841967115	4.9267836	-6.444239e-05
8.036843773160903	4.849953	-7.2027164e-05
