s	Iatom	Imol
6.8685807685410225	8.3595085	-0.049700458
6.908865699734811	8.194543	-0.049156442
6.949150630928601	8.033375	-0.04843483
6.98943556212239	7.8758707	-0.047624353
7.029720493316178	7.7219296	-0.046802144
7.070005424509969	7.5714264	-0.046032704
7.110290355703757	7.424202	-0.04536744
7.150575286897546	7.2801814	-0.04484504
7.190860218091335	7.139049	-0.044490527
7.2311451492851235	7.0010915	-0.044317544
7.271430080478912	6.867897	-0.044325072
7.311715011672702	6.7378373	-0.044497944
7.351999942866491	6.610725	-0.04481462
7.392284874060279	6.4864926	-0.045245126
7.432569805254069	6.3650665	-0.04575245
7.472854736447857	6.246378	-0.04629404
7.513139667641646	6.130351	-0.04682345
7.553424598835436	6.016932	-0.04729184
7.5937095300292246	5.905989	-0.047649905
7.633994461223013	5.7975616	-0.047848526
7.674279392416803	5.691498	-0.0478414
7.714564323610592	5.587865	-0.047585923
7.75484925480438	5.4865427	-0.04704449
7.79513418599817	5.3873944	-0.046184514
7.835419117191958	5.290549	-0.044982836
7.875704048385749	5.1960254	-0.04342479
7.915988979579537	5.10371	-0.0415021
7.956273910773326	5.013761	-0.03922102
7.996558841967115	4.926911	-0.036618564
8.036843773160903	4.8500786	-0.033984873
